4.394 -1.758 -4.9 8.887 -8.993 2.445 9.301 5.363 9.979 -4.62 -4.32 7.225 3.035 5.742 -8.724 -2.406 -8.765 9.401 5.578 0.402 | 173.40532
0.782 -3.37 -1.689 -6.141 -7.091 2.707 -0.887 1.665 6.045 -2.685 -6.397 -6.9 -0.405 8.953 -7.086 -7.558 -3.073 -4.708 7.547 3.777 | 123.81377
-4.041 -4.639 -3.256 -1.705 -7.365 3.478 -8.919 8.064 -5.397 9.713 -7.763 6.901 -8.403 -6.387 -8.388 6.789 5.028 8.098 9.738 0.188 | -146.44079
-6.067 8.065 -7.923 4.125 -6.559 6.789 8.362 -4.847 4.308 4.109 8.031 6.626 9.312 -5.177 -8.73 -8.432 5.563 -9.726 9.229 -1.968 | -207.77786
1.442 -2.398 -8.634 -3.801 -2.002 5.34 -8.697 -4.347 1.899 -2.806 7.809 -6.411 -7.29 -7.975 -2.704 -5.333 4.17 9.194 6.689 -7.281 | -326.33278
0.295 -4.396 -5.794 -9.725 -7.715 8.79 -9.658 5.221 9.465 7.824 -9.491 -7.844 0.098 2.491 0.463 -9.289 -2.073 5.443 -8.551 7.059 | 317.38007
-7.591 -3.085 -9.778 3.037 6.602 -7.202 3.974 6.901 -8.607 -8.921 -7.46 -4.687 -9.311 -8.853 -8.003 7.16 -4.077 -4.287 6.551 -9.039 | -126.32522
2.434 -0.63 7.301 -8.567 2.612 -0.466 6.833 -6.044 -3.757 -6.249 5.24 -4.34 3.412 -2.114 8.69 -6.015 -2.761 -4.318 5.992 -3.632 | -62.3378
8.072 6.745 7.968 6.843 -0.591 1.344 -1.535 -6.449 -7.997 -0.27 -5.102 6.099 -0.933 -0.025 7.545 -7.079 1.604 -6.01 3.263 7.141 | -133.49197
5.15 7.328 -2.7 9.653 -2.723 3.261 -6.692 3.175 8.685 -9.969 -9.441 4.593 2.113 4.362 2.625 9.332 -5.41 -6.796 8.19 -1.632 | 31.4185
-5.76 4.021 0.342 -0.439 -5.655 7.911 -8.855 -8.936 5.635 -8.308 -7.271 -0.773 -4.626 -7.078 9.417 0.669 7.19 -7.869 8.082 -4.842 | -168.3588
-6.681 -0.301 -5.661 -8.494 6.954 5.613 -5.08 -6.411 -2.986 -9.214 5.073 -1.227 2.541 0.91 -6.693 6.958 0.092 -7.068 5.35 -7.837 | -120.9985
-6.95 8.339 7.83 -4.634 -3.261 1.44 3.208 -1.336 -2.6 -8.928 -9.892 -6.79 0.029 -9.079 -5.678 -3.997 -1.945 -2.608 -7.702 6.224 | 53.30938
-1.379 -9.094 -2.344 -9.546 2.833 2.013 6.109 3.711 -2.901 9.2 -7.268 -7.005 8.264 -9.731 1.36 -3.491 6.14 0.215 -5.827 1.712 | 201.90914
9.615 9.714 4.965 -4.437 -7.488 -0.012 8.986 0.955 -7.964 5.54 3.052 -4.061 4.637 4.43 7.433 0.175 -5.089 3.905 9.427 7.099 | 42.0858
-9.699 -8.127 7.376 -9.785 1.764 -9.347 2.961 9.494 1.915 7.177 8.125 -5.488 -7.45 -0.994 -8.808 2.691 4.891 0.321 -7.975 7.123 | 93.80871
-4.937 -6.34 -0.32 7.056 -6.372 -4.161 3.928 6.335 1.229 6.309 -5.253 4.613 9.972 9.314 7.841 7.589 -4.652 0.748 -0.664 -3.976 | 254.02937
0.121 8.363 4.927 -8.574 2.087 -4.576 6.241 7.484 0.02 -6.416 7.402 9.976 2.197 5.238 8.213 -2.305 -6.841 -1.863 4.813 9.034 | 137.6356
-9.314 -9.132 3.378 -0.1 -7.422 -0.308 -6.649 5.101 -0.456 9.574 2.689 1.099 1.294 4.942 -4.703 4.753 5.629 1.541 -9.585 7.686 | 98.12454
-8.791 2.725 -2.656 4.637 -2.225 -5.924 9.628 -0.106 -7.812 -7.389 4.522 -3.009 -1.697 -0.565 7.495 -8.451 1.527 -0.491 5.732 2.89 | -111.05032
